,district,locality,latitude,longitude,id,zip_code,property_sub_type,property_type,price,nb_bedrooms,living_area,surface_of_the_plot,nb_facades,state_of_building,fireplace,equipped_kitchen,garden,garden_surface,terrace,terrace_surface,furnished,swimming_pool
0,Anvers,DEURNE,51.2334958,4.4611839,20364098,2100,Apartment,APARTMENT,154000,2,70,,2,As new,0,0,0,,1,4,0,0
1,Anvers,DEURNE,51.222204,4.4772536,20365957,2100,Apartment,APARTMENT,189000,2,89,,2,To renovate,0,0,0,,1,2,0,0
2,Anvers,DEURNE,51.2234631,4.458813399999999,20357365,2100,Apartment,APARTMENT,185000,3,85,,3,Good,0,0,0,,1,2,0,0
3,Anvers,DEURNE,51.2109963,4.461779,20364574,2100,Apartment,APARTMENT,190000,2,94,,2,Good,0,1,0,,0,,0,0
4,Ostende,De Haan,51.2682601,3.0260735,20364406,8420,Apartment,APARTMENT,187000,2,55,,,Good,0,0,0,,0,,1,0
5,Liège,LIÈGE,50.6371652,5.567241699999999,20366549,4000,Apartment,APARTMENT,120000,1,60,,2,Good,0,1,0,,1,3,0,0
6,Saint-Nicolas,Sint-Niklaas,51.1561526,4.148761599999999,20362776,9100,Apartment,APARTMENT,170000,2,67,,,Good,0,1,0,,1,15,0,0
7,Gand,GENT,51.0544993,3.7017186,20365672,9000,Apartment,APARTMENT,175000,1,35,,,Good,0,1,0,,1,6,0,0
8,Liège,Liège,50.6441469,5.5671924,20358523,4000,Flat_Studio,APARTMENT,99000,1,66,,2,To renovate,0,1,0,,0,,0,0
9,Anvers,DEURNE,51.2308646,4.482268599999999,20357502,2100,Apartment,APARTMENT,175000,2,88,,4,To be done up,0,0,0,,1,10,0,0
10,Anvers,BOOM,51.086778,4.3632,20363012,2850,Apartment,APARTMENT,156000,2,80,,2,Good,0,1,0,,0,,0,0
11,Anvers,BOOM,51.086778,4.3632,20363016,2850,Apartment,APARTMENT,159000,2,77,,4,Good,0,0,0,,0,,0,0
